subject,type,label,n_trials,cnv_mean_uV@Cz,p3_mean_uV@Cz,cnv_gfp_uV,p3_gfp_uV
Sub_06,sequence,short_surprise,28,6.592791184252646e-09,47.48390588070529,12.212566791119995,375.62778665268775
Sub_06,sequence,surprise_short,27,-3.6668709121788254e-10,22.676480749709725,16.923586723624766,176.3199225982094
Sub_06,sequence,surprise_surprise,6,4.278257409375155e-09,44.732519248355345,23.698728464982914,360.34229331794376
sub-01-foreperiod-12-3,condition,short,334,1.9002560259576885e-10,350.0958296948533,13.306129242641937,2807.212017980518
sub-01-foreperiod-12-3,condition,long,312,-1.747975566744287e-09,351.8400188397874,3.194262454198888,2832.3349275140354
sub-01-foreperiod-12-3,condition,surprise,64,3.803808241376871e-09,368.4027040099489,7.6974238745048815,2963.580101041651
sub-01-foreperiod-12-3,sequence,short_short,158,1.2645474363183034e-09,383.16382344222734,16.02004652464656,3078.5020207122143
sub-01-foreperiod-12-3,sequence,long_short,147,-3.1955351728550933e-10,317.4318127754417,11.244309178086231,2539.0074240018193
sub-01-foreperiod-12-3,sequence,short_long,144,-3.031396880424073e-10,328.80802709473414,4.911225619004004,2652.1752454266925
sub-01-foreperiod-12-3,sequence,long_long,135,-2.2964150707730995e-09,374.8062380503888,5.1843581806441845,3011.34144942662
sub-01-foreperiod-12-3,sequence,surprise_long,33,-5.809097460134726e-09,358.39054059301367,7.26810810847859,2886.9590267363387
sub-01-foreperiod-12-3,sequence,short_surprise,32,9.229409493499404e-10,408.2650323063429,8.542653065692537,3275.4369907904597
sub-01-foreperiod-12-3,sequence,long_surprise,30,5.988068030812812e-09,332.20143620939547,10.719183572392733,2685.2023795843406
sub-01-foreperiod-12-3,sequence,surprise_short,29,-3.0812245645352955e-09,335.50505297307524,17.629554942956712,2694.1253677376135
sub-01-foreperiod-12-3,sequence,surprise_surprise,2,1.7133790059697174e-08,273.6244682759463,32.75277075983619,2163.4111789184526
